x,y,JumpingPound2012.1,JumpingPound2012.2,JumpingPound2012.3,class
647690.75,5647036.25,65,124,150,snow
647663.75,5647132.25,69,112,139,snow
647608.75,5646983.75,110,139,153,snow
647653.75,5647114.25,73,102,124,snow
647569.75,5647088.25,42,91,129,rock
647567.25,5646846.75,87,107,120,snow
647731.25,5647081.75,73,124,153,snow
647531.25,5647033.25,73,120,142,snow
647594.75,5646872.75,137,146,139,snow
647649.25,5647071.25,69,112,139,snow
647600.75,5647058.25,146,175,181,snow
647657.25,5646999.75,73,112,139,snow
647607.75,5646861.75,166,172,155,forest
647657.25,5646887.75,237,231,217,snow
647638.75,5646929.25,237,233,223,snow
647563.25,5646968.75,65,112,139,snow
647561.75,5646990.25,69,112,139,snow
647598.75,5647024.75,146,153,155,snow
647568.25,5647062.25,87,130,158,snow
647620.25,5646990.75,73,107,130,snow
647538.75,5647051.75,73,124,150,snow
647691.75,5646942.75,166,158,146,rock
647590.25,5647017.25,120,146,155,snow
647549.25,5647020.25,73,124,150,snow
647594.25,5647089.25,58,96,120,snow
647692.25,5646990.25,46,91,124,rock
647663.25,5647009.25,73,129,153,snow
647688.25,5647112.75,69,115,142,snow
647650.75,5647070.75,54,91,120,snow
647559.75,5647009.25,50,91,115,rock
647693.75,5646985.25,65,98,130,snow
647533.25,5647025.25,60,115,139,snow
647615.75,5647006.25,69,102,129,snow
647640.25,5647052.25,60,115,150,snow
647638.75,5646903.25,241,239,231,snow
647749.75,5646952.25,243,239,240,snow
647651.75,5647036.25,60,107,139,snow
647680.75,5647076.75,40,76,112,rock
647690.75,5647040.75,73,124,153,snow
647649.25,5647090.75,60,102,130,snow
647532.25,5647042.25,60,107,139,snow
647765.25,5647049.75,60,107,139,snow
647659.25,5646987.75,87,115,129,snow
647670.25,5646949.25,151,150,146,rock
647673.75,5647025.25,65,120,150,snow
647591.25,5646880.75,69,91,98,forest
647728.75,5646953.25,244,240,232,snow
647682.75,5647114.75,60,112,142,snow
647747.25,5646979.75,87,112,130,snow
647619.75,5646894.75,87,115,107,forest
647706.25,5646985.75,73,124,153,snow
647543.25,5646962.75,60,91,112,snow
647685.75,5647003.25,65,115,146,snow
647624.75,5647028.75,65,115,146,snow
647529.75,5647047.75,73,124,146,snow
647705.75,5646999.25,82,124,150,snow
647693.25,5647006.25,73,124,150,snow
647682.25,5646902.25,181,158,139,rock
647659.25,5647061.25,46,91,115,rock
647671.75,5646963.25,172,172,168,snow
647676.75,5647068.25,58,98,129,snow
647738.25,5646924.25,234,229,212,rock
647723.25,5647058.75,79,107,130,rock
647564.25,5646967.25,65,115,142,snow
647626.75,5646924.25,240,237,229,snow
647707.75,5647056.75,73,115,130,rock
647560.25,5647090.75,65,115,142,snow
647705.25,5646986.75,69,120,150,snow
647750.75,5647054.75,82,130,155,snow
647738.25,5646957.75,204,190,175,rock
647636.25,5646941.25,216,210,199,snow
647680.75,5647003.25,120,158,172,snow
647748.75,5647003.25,91,115,129,rock
647621.75,5647051.75,58,107,130,snow
647670.25,5646851.75,255,255,253,snow
647543.75,5646977.75,65,102,129,snow
647725.25,5647037.75,58,91,120,rock
647540.25,5647024.25,151,175,182,snow
647613.25,5647017.25,82,124,146,rock
647599.75,5647048.25,69,112,135,rock
647656.25,5647093.25,46,82,112,rock
647704.75,5646987.25,65,115,146,snow
647576.25,5646984.25,73,135,164,snow
647543.75,5647044.75,110,155,175,snow
647613.25,5646902.75,87,115,120,forest
647694.75,5647004.75,69,124,153,snow
647670.75,5647054.75,35,76,112,rock
647620.75,5646950.25,239,236,228,snow
647702.75,5646903.25,255,255,255,snow
647662.25,5647047.25,73,130,158,snow
647765.25,5647017.25,58,91,112,rock
647715.25,5646920.25,255,255,255,snow
647688.25,5647114.25,58,107,130,snow
647685.75,5646991.75,73,129,150,snow
647696.75,5646904.25,214,199,185,rock
647655.25,5647044.25,65,129,155,snow
647641.75,5646919.75,233,229,217,snow
647605.75,5647054.25,87,124,135,snow
647677.25,5646965.75,169,176,181,snow
647649.25,5647047.75,73,115,142,snow
