x,y,JumpingPound2012.1,JumpingPound2012.2,JumpingPound2012.3,class
646635.75,5649938.75,124,124,123,snow
646641.25,5650058.75,39,62,74,forest
646622.75,5649847.25,251,245,232,snow
646622.25,5650039.25,71,102,115,forest
646645.25,5650012.75,196,195,184,snow
646750.25,5649554.75,64,80,89,forest
646670.25,5650004.25,164,161,151,snow
646561.75,5649934.25,80,112,134,snow
646751.75,5649628.75,255,255,251,snow
646561.25,5649990.75,49,72,86,forest
646725.75,5649973.75,119,127,131,snow
646696.25,5649875.75,247,242,228,snow
646790.75,5649608.25,248,242,226,snow
646775.75,5649653.75,222,213,191,snow
646755.75,5649739.75,94,95,88,forest
646702.25,5649823.75,226,212,183,rock
646661.75,5649858.75,221,205,180,rock
646602.25,5649919.75,197,190,173,snow
646615.25,5649979.25,156,165,165,snow
646594.25,5649859.25,251,248,237,snow
646646.75,5649964.25,56,80,95,snow
646695.75,5649778.25,91,98,95,forest
646602.75,5649906.25,238,231,215,snow
646665.25,5649912.25,152,141,124,rock
646604.25,5650013.75,157,170,165,snow
646665.25,5649858.25,182,159,134,rock
646561.75,5649891.75,60,77,89,forest
646639.75,5650037.25,228,224,210,snow
646632.75,5649990.25,111,129,138,snow
646607.25,5649892.25,255,253,243,snow
646750.75,5649849.75,161,145,124,rock
646554.75,5649920.75,63,94,114,forest
646763.25,5649887.25,197,180,155,rock
646678.25,5649964.75,125,123,120,snow
646787.75,5649687.25,192,181,159,forest
646756.25,5649796.25,255,251,240,snow
646572.25,5649938.75,149,164,165,snow
646586.25,5649997.75,53,81,102,forest
646744.25,5649946.25,99,119,125,snow
646726.75,5650015.75,139,141,134,snow
646769.25,5649949.25,121,115,109,rock
646615.75,5649960.25,100,117,121,snow
646571.25,5649853.75,61,79,90,forest
646675.25,5649791.25,228,221,200,snow
646558.25,5649920.25,88,116,129,snow
646788.25,5649642.25,135,137,123,forest
646640.75,5649797.75,255,255,251,snow
646661.75,5650039.75,204,196,182,snow
646647.25,5649840.25,247,240,223,snow
646763.75,5649670.75,124,122,108,forest
646619.25,5649850.25,253,251,238,snow
646654.25,5649814.25,241,232,212,snow
646720.25,5649881.75,83,88,85,forest
646692.75,5649926.75,119,116,110,snow
646582.25,5649957.75,228,224,216,snow
646722.25,5649874.75,196,188,169,snow
646673.75,5649886.75,215,200,177,rock
646774.25,5649685.25,250,244,232,snow
646687.75,5649977.75,56,85,106,snow
646732.75,5649814.75,245,239,222,snow
646785.75,5649987.25,189,179,164,snow
646673.25,5649725.75,105,112,103,forest
646552.75,5649973.75,34,58,75,forest
646635.25,5649821.25,255,255,245,snow
646741.25,5649726.75,243,238,220,snow
646728.25,5649971.25,56,80,95,forest
646639.75,5650015.75,117,127,130,forest
646742.75,5649852.25,91,88,80,rock
646751.75,5649968.25,75,85,91,rock
646624.75,5649805.25,255,255,251,snow
646675.75,5649774.25,251,247,235,snow
646712.75,5649881.75,94,98,92,forest
646607.25,5649881.25,243,238,222,snow
646788.75,5649964.25,123,123,119,rock
646799.75,5649576.25,237,229,211,snow
646632.25,5649837.75,248,242,225,snow
646726.25,5649941.25,107,103,103,rock
646672.75,5649919.25,107,103,95,rock
646640.25,5649906.25,183,171,156,rock
646548.75,5649958.25,57,77,86,forest
646742.25,5650018.75,150,149,139,rock
646587.75,5649852.75,189,182,164,snow
646641.75,5649848.25,241,234,215,snow
646769.25,5649953.25,109,103,100,rock
646705.25,5649686.25,241,238,225,snow
646706.25,5649884.25,125,124,116,forest
646622.25,5649968.25,64,91,106,snow
646710.25,5649793.25,185,159,134,rock
646759.75,5649686.75,250,244,233,snow
646703.25,5649956.75,185,184,174,snow
646693.25,5649905.75,143,131,117,rock
646683.75,5649717.75,219,211,191,snow
646678.25,5650039.25,63,85,94,snow
646578.25,5649860.75,64,77,80,forest
646700.25,5649688.25,200,197,178,forest
646613.25,5649951.75,116,127,128,snow
646690.25,5649717.25,162,155,135,forest
646637.75,5649967.75,50,83,104,snow
646756.75,5649818.75,237,231,215,rock
646775.25,5649957.75,145,130,118,rock
