x,y,JumpingPound2012.1,JumpingPound2012.2,JumpingPound2012.3,class
645752.25,5648579.25,136,134,119,forest
645782.75,5648676.25,126,130,126,forest
645875.25,5648533.75,250,247,236,snow
645797.75,5648664.75,199,191,177,snow
645800.75,5648636.25,225,217,202,snow
645870.75,5648424.25,154,161,155,snow
645802.25,5648624.25,221,213,195,snow
645883.25,5648577.25,230,228,215,snow
645916.75,5648450.75,157,181,183,snow
645682.75,5648609.75,49,78,97,forest
645783.75,5648597.75,115,120,119,snow
645738.75,5648547.75,244,241,228,snow
645852.25,5648443.25,98,108,103,snow
645834.25,5648458.25,213,201,179,snow
645787.75,5648486.25,193,181,159,snow
645748.25,5648520.25,251,249,239,snow
645887.25,5648539.75,250,247,237,snow
645694.25,5648569.25,72,92,101,forest
645784.75,5648601.25,115,116,112,snow
645764.25,5648539.75,69,90,102,snow
645681.75,5648592.25,82,108,117,forest
645770.25,5648497.75,244,241,228,snow
645818.75,5648563.25,120,111,101,rock
645789.25,5648565.75,136,128,123,rock
645802.25,5648637.75,223,216,201,snow
645799.25,5648539.25,142,134,123,rock
645782.25,5648556.25,206,198,180,snow
645779.25,5648663.25,239,235,222,snow
645700.75,5648609.25,43,67,79,forest
645707.25,5648556.25,92,112,112,forest
645810.25,5648534.75,136,131,120,rock
645874.25,5648570.25,100,118,121,snow
645793.75,5648553.75,112,100,92,rock
645792.25,5648592.75,154,154,139,snow
645774.25,5648467.75,42,66,79,forest
645890.75,5648506.25,74,126,145,snow
645723.75,5648579.25,226,222,207,snow
645822.75,5648616.75,231,221,204,snow
645824.75,5648583.25,225,216,194,snow
645764.75,5648639.75,45,66,77,forest
645814.75,5648584.75,220,210,192,snow
645695.25,5648590.25,186,189,178,snow
645872.75,5648537.25,224,216,196,snow
645864.25,5648503.75,34,65,90,rock
645774.75,5648569.75,137,135,128,rock
645788.25,5648454.75,218,212,195,snow
645748.75,5648506.75,39,68,89,forest
645777.25,5648664.75,240,237,226,snow
645822.25,5648529.75,159,148,134,rock
645903.25,5648462.75,181,192,192,snow
645836.75,5648535.25,202,201,191,snow
645767.75,5648515.25,195,183,162,rock
645712.25,5648550.75,53,75,91,forest
645717.25,5648572.75,209,204,191,snow
645794.25,5648589.25,237,233,220,snow
645755.25,5648547.25,91,101,101,rock
645849.75,5648553.75,224,210,184,rock
645850.75,5648467.25,63,101,120,snow
645800.75,5648600.25,233,228,212,snow
645887.75,5648515.75,68,115,136,snow
645819.25,5648606.75,235,228,210,snow
645814.75,5648482.25,136,127,110,rock
645700.75,5648597.75,224,221,212,snow
645852.25,5648519.25,159,167,164,snow
645903.25,5648482.75,72,124,146,snow
645757.25,5648596.25,49,68,74,forest
645794.25,5648640.25,224,218,203,snow
645871.25,5648536.25,226,220,199,snow
645854.25,5648594.75,185,182,170,snow
645813.75,5648510.75,107,120,117,snow
645846.25,5648496.75,66,111,133,snow
645708.75,5648550.75,62,80,93,forest
645757.75,5648550.75,106,112,109,rock
645741.75,5648592.25,42,66,76,forest
645870.75,5648431.75,100,124,131,snow
645773.25,5648528.25,126,126,122,rock
645866.25,5648580.75,69,85,93,forest
645824.75,5648569.25,241,238,225,snow
645835.75,5648563.25,225,218,210,snow
645885.75,5648589.75,235,232,218,snow
645786.25,5648643.75,185,184,174,snow
645888.25,5648536.75,250,248,239,snow
645870.75,5648534.25,237,231,213,snow
645793.25,5648586.75,222,217,200,snow
645854.75,5648467.75,41,83,110,rock
645783.25,5648552.25,132,127,116,rock
645790.25,5648594.75,197,194,175,snow
645875.75,5648504.75,73,109,125,snow
645820.25,5648467.75,192,176,153,rock
645855.25,5648588.75,168,172,158,snow
645750.75,5648562.75,140,145,138,rock
645908.75,5648479.75,56,109,137,snow
645762.75,5648664.25,42,69,81,forest
645845.25,5648540.75,249,243,231,snow
645921.75,5648468.75,58,102,124,snow
645836.75,5648586.25,243,237,221,snow
645806.25,5648479.25,196,182,161,rock
645706.25,5648594.25,206,204,195,snow
645853.75,5648517.75,191,193,182,snow
645883.25,5648589.25,171,173,155,snow
